Step 7 | Loss: 1.08 | Accuracy: 44.73%
Step 7 | Loss: 1.08 | Accuracy: 42.97%
Step 7 | Loss: 1.09 | Accuracy: 42.38%
Step 7 | Loss: 1.08 | Accuracy: 44.92%
Step 7 | Loss: 1.08 | Accuracy: 41.60%
Step 7 | Loss: 1.08 | Accuracy: 45.70%
Step 7 | Loss: 1.08 | Accuracy: 46.48%
Step 7 | Loss: 1.09 | Accuracy: 47.07%
Step 7 | Loss: 1.10 | Accuracy: 46.29%
Step 7 | Loss: 1.09 | Accuracy: 45.51%
Step 7 | Loss: 1.09 | Accuracy: 40.43%
Step 7 | Loss: 1.08 | Accuracy: 43.16%
Step 7 | Loss: 1.08 | Accuracy: 42.58%
Step 8 | Loss: 1.09 | Accuracy: 44.53%
Step 8 | Loss: 1.09 | Accuracy: 42.19%
Step 8 | Loss: 1.10 | Accuracy: 42.58%
Step 8 | Loss: 1.08 | Accuracy: 45.90%
Step 8 | Loss: 1.08 | Accuracy: 43.55%
Step 8 | Loss: 1.07 | Accuracy: 46.48%
Step 8 | Loss: 1.09 | Accuracy: 41.41%
Step 8 | Loss: 1.09 | Accuracy: 41.80%
Step 8 | Loss: 1.08 | Accuracy: 44.92%
Step 8 | Loss: 1.08 | Accuracy: 47.27%
Step 8 | Loss: 1.10 | Accuracy: 46.48%
Step 8 | Loss: 1.08 | Accuracy: 44.14%
Step 8 | Loss: 1.09 | Accuracy: 46.68%
Step 8 | Loss: 1.09 | Accuracy: 42.77%
Step 8 | Loss: 1.08 | Accuracy: 41.80%
Step 8 | Loss: 1.09 | Accuracy: 43.95%
Step 9 | Loss: 1.09 | Accuracy: 42.77%
Step 9 | Loss: 1.09 | Accuracy: 46.29%
Step 9 | Loss: 1.08 | Accuracy: 43.75%
Step 9 | Loss: 1.09 | Accuracy: 45.51%
Step 9 | Loss: 1.09 | Accuracy: 46.88%
Step 9 | Loss: 1.09 | Accuracy: 41.21%
Step 9 | Loss: 1.11 | Accuracy: 44.14%
Step 9 | Loss: 1.08 | Accuracy: 45.51%
Step 9 | Loss: 1.09 | Accuracy: 42.19%
Step 9 | Loss: 1.08 | Accuracy: 47.27%
Step 9 | Loss: 1.10 | Accuracy: 42.77%
Step 9 | Loss: 1.08 | Accuracy: 48.05%
Step 9 | Loss: 1.09 | Accuracy: 41.99%
Step 9 | Loss: 1.09 | Accuracy: 42.38%
Step 9 | Loss: 1.08 | Accuracy: 44.53%
Step 9 | Loss: 1.08 | Accuracy: 40.82%
Step 10 | Loss: 1.09 | Accuracy: 43.16%
Step 10 | Loss: 1.08 | Accuracy: 44.34%
Step 10 | Loss: 1.09 | Accuracy: 42.19%
Step 10 | Loss: 1.08 | Accuracy: 43.16%
Step 10 | Loss: 1.09 | Accuracy: 40.43%
Step 10 | Loss: 1.09 | Accuracy: 45.31%
Step 10 | Loss: 1.09 | Accuracy: 44.53%
Step 10 | Loss: 1.09 | Accuracy: 41.99%
Step 10 | Loss: 1.09 | Accuracy: 44.14%
Step 10 | Loss: 1.08 | Accuracy: 43.55%
Step 10 | Loss: 1.10 | Accuracy: 40.62%
Step 10 | Loss: 1.08 | Accuracy: 43.16%
Step 10 | Loss: 1.08 | Accuracy: 43.95%
