Epoch 0 | Step 0 | Loss: 0.1795 | Accuracy: 40.00%
Epoch 0 | Step 0 | Loss: 0.1766 | Accuracy: 52.00%
Epoch 0 | Step 0 | Loss: 0.1805 | Accuracy: 36.00%
Epoch 0 | Step 1 | Loss: 0.1785 | Accuracy: 44.00%
Epoch 0 | Step 1 | Loss: 0.1748 | Accuracy: 44.00%
Epoch 0 | Step 1 | Loss: 0.1734 | Accuracy: 48.00%
Epoch 0 | Step 1 | Loss: 0.1820 | Accuracy: 40.00%
Epoch 0 | Step 1 | Loss: 0.1726 | Accuracy: 60.00%
Epoch 0 | Step 1 | Loss: 0.1782 | Accuracy: 60.00%
Epoch 0 | Step 2 | Loss: 0.1792 | Accuracy: 32.00%
Epoch 0 | Step 2 | Loss: 0.1763 | Accuracy: 48.00%
Epoch 0 | Step 2 | Loss: 0.1786 | Accuracy: 56.00%
Epoch 0 | Step 2 | Loss: 0.1796 | Accuracy: 56.00%
Epoch 0 | Step 2 | Loss: 0.1759 | Accuracy: 52.00%
Epoch 0 | Step 2 | Loss: 0.1749 | Accuracy: 44.00%
Epoch 0 | Step 3 | Loss: 0.1773 | Accuracy: 48.00%
Epoch 0 | Step 3 | Loss: 0.1619 | Accuracy: 64.00%
Epoch 0 | Step 3 | Loss: 0.1755 | Accuracy: 52.00%
Epoch 0 | Step 3 | Loss: 0.2114 | Accuracy: 28.00%
Epoch 0 | Step 3 | Loss: 0.2382 | Accuracy: 48.00%
Epoch 0 | Step 3 | Loss: 0.1982 | Accuracy: 36.00%
Epoch 0 | Step 4 | Loss: 0.1900 | Accuracy: 48.00%
Epoch 0 | Step 4 | Loss: 0.1755 | Accuracy: 60.00%
Epoch 0 | Step 4 | Loss: 0.1895 | Accuracy: 32.00%
Epoch 0 | Step 4 | Loss: 0.2081 | Accuracy: 28.00%
Epoch 0 | Step 4 | Loss: 0.2565 | Accuracy: 36.00%
Epoch 0 | Step 4 | Loss: 0.1930 | Accuracy: 36.00%
Epoch 0 | Step 5 | Loss: 0.2933 | Accuracy: 32.00%
Epoch 0 | Step 5 | Loss: 0.2032 | Accuracy: 48.00%
Epoch 0 | Step 5 | Loss: 0.2242 | Accuracy: 40.00%
Epoch 0 | Step 5 | Loss: 0.2318 | Accuracy: 32.00%
Epoch 0 | Step 5 | Loss: 0.2588 | Accuracy: 36.00%
Epoch 0 | Step 5 | Loss: 0.1999 | Accuracy: 24.00%
Epoch 0 | Step 6 | Loss: 0.2510 | Accuracy: 28.00%
Epoch 0 | Step 6 | Loss: 0.1818 | Accuracy: 48.00%
Epoch 0 | Step 6 | Loss: 0.2421 | Accuracy: 52.00%
Epoch 0 | Step 6 | Loss: 0.1913 | Accuracy: 48.00%
Epoch 0 | Step 6 | Loss: 0.2040 | Accuracy: 40.00%
Epoch 0 | Step 6 | Loss: 0.1894 | Accuracy: 52.00%
Epoch 0 | Step 7 | Loss: 0.1764 | Accuracy: 28.00%
